gravity = -0.350000, wind = -0.050000
i = 110, p_x= -314.515045, p_y = -18.992546, p_z = 345.250000, v_x= -0.165000, v_y = -1.122501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 111, p_x= -314.680054, p_y = -20.115047, p_z = 345.500000, v_x= -0.167500, v_y = -1.140001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 112, p_x= -314.847565, p_y = -21.255049, p_z = 345.750000, v_x= -0.170000, v_y = -1.157501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 113, p_x= -315.017578, p_y = -22.412550, p_z = 346.000000, v_x= -0.172500, v_y = -1.175001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 114, p_x= -315.190063, p_y = -23.587551, p_z = 346.250000, v_x= -0.175000, v_y = -1.192501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 115, p_x= -315.365051, p_y = -24.780052, p_z = 346.500000, v_x= -0.177500, v_y = -1.210001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 116, p_x= -315.542542, p_y = -25.990053, p_z = 346.750000, v_x= -0.180000, v_y = -1.227501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 117, p_x= -315.722534, p_y = -27.217554, p_z = 347.000000, v_x= -0.182500, v_y = -1.245001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 118, p_x= -315.905029, p_y = -28.462555, p_z = 347.250000, v_x= -0.185000, v_y = -1.262501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 119, p_x= -316.090027, p_y = -29.725056, p_z = 347.500000, v_x= -0.187500, v_y = -1.280001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 120, p_x= -316.277527, p_y = -31.005056, p_z = 347.750000, v_x= -0.190000, v_y = -1.297501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 121, p_x= -316.467529, p_y = -32.302559, p_z = 348.000000, v_x= -0.192500, v_y = -1.315001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 122, p_x= -316.660034, p_y = -33.617561, p_z = 348.250000, v_x= -0.195000, v_y = -1.332501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 123, p_x= -316.855042, p_y = -34.950062, p_z = 348.500000, v_x= -0.197500, v_y = -1.350001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 124, p_x= -317.052551, p_y = -36.300064, p_z = 348.750000, v_x= -0.200000, v_y = -1.367501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 125, p_x= -317.252563, p_y = -37.667564, p_z = 349.000000, v_x= -0.202500, v_y = -1.385001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 126, p_x= -317.455078, p_y = -39.052567, p_z = 349.250000, v_x= -0.205000, v_y = -1.402501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 127, p_x= -317.660065, p_y = -40.455067, p_z = 349.500000, v_x= -0.207500, v_y = -1.420001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 128, p_x= -317.867554, p_y = -41.875069, p_z = 349.750000, v_x= -0.210000, v_y = -1.437501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 129, p_x= -318.077545, p_y = -43.312569, p_z = 350.000000, v_x= -0.212500, v_y = -1.455001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 130, p_x= -318.290039, p_y = -44.767570, p_z = 350.250000, v_x= -0.215000, v_y = -1.472501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 131, p_x= -318.505035, p_y = -46.240070, p_z = 350.500000, v_x= -0.217500, v_y = -1.490001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 132, p_x= -318.722534, p_y = -47.730072, p_z = 350.750000, v_x= -0.220000, v_y = -1.507501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 133, p_x= -318.942535, p_y = -49.237572, p_z = 351.000000, v_x= -0.222500, v_y = -1.525001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 134, p_x= 57.000000, p_y = 0.000000, p_z = -60.000000, v_x= 0.000000, v_y = 0.900000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 135, p_x= 240.000000, p_y = 0.000000, p_z = 23.000000, v_x= 0.000000, v_y = 0.950000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 136, p_x= 240.000000, p_y = 0.950000, p_z = 23.000000, v_x= -0.002500, v_y = 0.932500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 137, p_x= 239.997498, p_y = 1.882500, p_z = 23.000000, v_x= -0.005000, v_y = 0.915000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 138, p_x= 239.992493, p_y = 2.797500, p_z = 23.000000, v_x= -0.007500, v_y = 0.897500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 139, p_x= 239.984985, p_y = 3.695000, p_z = 23.000000, v_x= -0.010000, v_y = 0.880000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 140, p_x= 239.974991, p_y = 4.575000, p_z = 23.000000, v_x= -0.012500, v_y = 0.862500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 141, p_x= 239.962494, p_y = 5.437500, p_z = 23.000000, v_x= -0.015000, v_y = 0.845000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 142, p_x= 239.947495, p_y = 6.282499, p_z = 23.000000, v_x= -0.017500, v_y = 0.827500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 143, p_x= 239.929993, p_y = 7.109999, p_z = 23.000000, v_x= -0.020000, v_y = 0.810000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 144, p_x= 239.909988, p_y = 7.919999, p_z = 23.000000, v_x= -0.022500, v_y = 0.792500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

